OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::dot;                                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::dropout;                                                   NO;  NO;  YES; YES;      DF_DT; NO;      NO;   YES;          7; alexnet, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, squeezenet1_0, vgg16
aten::elu;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::elu_backward;                                              YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::embedding;                                                 NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::embedding_dense_backward;                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::embedding_renorm;                                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::empty;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::empty_strided;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::eq;                                                        YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::equal;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::erf;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::erfc;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::erfinv;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::exp;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::exp2;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::expand;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::expm1;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::exponential;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::eye;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::fake_quantize_per_channel_affine_cachemask;                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::fake_quantize_per_tensor_affine_cachemask;                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::fill;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::flip;                                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::floor;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::floor_divide;                                              YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::fmax;                                                      YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::fmin;                                                      YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::fmod;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::frac;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::fractional_max_pool2d;                                     YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::fractional_max_pool2d_backward;                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::fractional_max_pool3d;                                     YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::fractional_max_pool3d_backward;                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::frexp;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::from_file;                                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::gather;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::gcd;                                                       YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::ge;                                                        YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::gelu;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::gelu_backward;                                             YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::geometric;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::geqrf;                                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::glu;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::glu_backward;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::glu_backward_jvp;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::glu_jvp;                                                   YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::grid_sampler_2d;                                           YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::grid_sampler_2d_backward;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::grid_sampler_3d;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::grid_sampler_3d_backward;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::gt;                                                        YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::hardshrink;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::hardshrink_backward;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::hardsigmoid;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::hardsigmoid_backward;                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::hardswish;                                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::hardswish_backward;                                        YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::hardtanh;                                                  YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::hardtanh_backward;                                         YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::heaviside;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::histc;                                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::histogram;                                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::huber_loss;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::huber_loss_backward;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::hypot;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::i0;                                                        YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::igamma;                                                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::igammac;                                                   YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::im2col;                                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::index;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          1; dlrm_github
aten::index_add;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::index_copy;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::index_fill;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::index_reduce;                                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::index_select;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::instance_norm;                                             NO;  NO;  YES; YES;      DF_DT; NO;      YES;  NO;           0;
aten::is_pinned;                                                 NO;  YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::is_set_to;                                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::isfinite;                                                  NO;  NO;  YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::isin;                                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::isinf;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::isnan;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::isneginf;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::isposinf;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::kl_div;                                                    NO;  NO;  YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::kthvalue;                                                  YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::l1_loss;                                                   NO;  NO;  YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::lcm;                                                       YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::le;                                                        YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::leaky_relu;                                                YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::leaky_relu_backward;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::lerp;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::lgamma;                                                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_cholesky_ex;                                        YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_cross;                                              YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::linalg_eig;                                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::linalg_householder_product;                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::linalg_inv_ex;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_ldl_factor_ex;                                      YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_ldl_solve;                                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_lstsq;                                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_lu;                                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_lu_factor_ex;                                       YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_lu_solve;                                           YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_matrix_exp;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::linalg_qr;                                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::linalg_solve_triangular;                                   YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::linalg_vector_norm;                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::linear;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  YES;         15; alexnet, densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, r3d_18, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, vgg16, wide_resnet50_2
aten::linear_backward;                                           NO;  NO;  YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::linspace;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::log10;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log1p;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log2;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log_normal;                                                YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::log_sigmoid_backward;                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log_sigmoid_forward;                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::logaddexp;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logaddexp2;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logcumsumexp;                                              NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logical_and;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logical_not;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logical_or;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logical_xor;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logit;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::logit_backward;                                            YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::logspace;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::lt;                                                        YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::lu_unpack;                                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::masked_fill;                                               YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::masked_scatter;                                            YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::masked_select;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::matmul;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::max;                                                       YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::max_pool2d_with_indices;                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::max_pool2d_with_indices_backward;                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::max_pool3d_with_indices;                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::max_pool3d_with_indices_backward;                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::max_unpool2d;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::max_unpool3d;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::maximum;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mean;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; mnasnet1_0, shufflenet_v2_x1_0
aten::median;                                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::min;                                                       YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::minimum;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_batch_norm;                                         NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_batch_norm_backward;                                NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution;                                        NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_add_relu;                               NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_relu;                                   NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_transpose;                              NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_depthwise_convolution;                              NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_rnn;                                                NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_rnn_backward;                                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::mish;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mish_backward;                                             YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mm;                                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mode;                                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::mse_loss;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   YES;          2; dlrm_a, dlrm_github
aten::mse_loss_backward;                                         YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mul;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; googlenet, inception_v3
aten::multi_margin_loss;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multi_margin_loss_backward;                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss_backward;                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multilabel_margin_loss_forward;                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::multinomial;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mv;                                                        NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mvlgamma;                                                  YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::nan_to_num;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nanmedian;                                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::nansum;                                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::narrow_copy;                                               YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_batch_norm;                                         YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_batch_norm_backward;                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_channel_shuffle;                                    YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_dropout;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::native_dropout_backward;                                   YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::native_group_norm;                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_group_norm_backward;                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_layer_norm;                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_layer_norm_backward;                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::ne;                                                        YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::neg;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::nextafter;                                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::nll_loss2d_backward;                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::nll_loss2d_forward;                                        YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::nll_loss_backward;                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nll_loss_forward;                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nonzero;                                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::norm;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::normal;                                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::one_hot;                                                   NO;  NO;  YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::ormqr;                                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::permute;                                                   NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::pin_memory;                                                NO;  NO;  YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::pixel_shuffle;                                             YES; NO;  NO;  NO;       DT_DT; NO;      YES;  NO;           0;
aten::pixel_unshuffle;                                           YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::poisson;                                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::polar;                                                     YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::polygamma;                                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::pow;                                                       YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::prelu;                                                     YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::prelu_backward;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::prod;                                                      YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::put;                                                       YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::quantize_per_channel;                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::quantize_per_tensor;                                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::quantize_per_tensor_dynamic;                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::quantized_gru;                                             YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
aten::quantized_lstm;                                            YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
aten::random;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::randperm;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::range;                                                     YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::reciprocal;                                                YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::record_stream;                                             NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::reflection_pad1d;                                          YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::reflection_pad1d_backward;                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::reflection_pad2d;                                          YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::reflection_pad2d_backward;                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::reflection_pad3d;                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::reflection_pad3d_backward;                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::relu;                                                      YES; YES; YES; NO;       DT_DF; NO;      YES;  YES;         16; alexnet, densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, mnasnet1_0, r3d_18, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, squeezenet1_0, unet3d, vgg16, wide_resnet50_2
aten::remainder;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::renorm;                                                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::repeat;                                                    NO;  NO;  YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::repeat_interleave;                                         YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::replication_pad1d;                                         YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::replication_pad1d_backward;                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::replication_pad2d;                                         YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::replication_pad2d_backward;                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::replication_pad3d;                                         YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::replication_pad3d_backward;                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::resize;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::roll;                                                      YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::round;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::rrelu_with_noise;                                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::rrelu_with_noise_backward;                                 NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::rsqrt;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::rsub;                                                      YES; YES; YES; NO;       DT_DF; NO;      YES;  NO;           0;
aten::scatter;                                                   YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::scatter_add;                                               YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::scatter_reduce;                                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::searchsorted;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::segment_reduce;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::select;                                                    NO;  NO;  YES; YES;      DF_DT; NO;      YES;  YES;          2; googlenet, inception_v3
aten::select_backward;                                           NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::set;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::sgn;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::sigmoid;                                                   YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          2; dlrm_a, dlrm_github
aten::sigmoid_backward;                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::sign;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::signbit;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::silu;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::silu_backward;                                             YES; YES; YES; YES;      DF_DT; NO;      NO;   NO;           0;
aten::sin;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::sinc;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::sinh;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::slice;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      YES;  YES;          3; dlrm_github, googlenet, inception_v3
aten::slow_conv3d_forward;                                       YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::slow_conv_dilated2d;                                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::slow_conv_dilated3d;                                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::slow_conv_transpose2d;                                     YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::slow_conv_transpose3d;                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::smooth_l1_loss;                                            YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::smooth_l1_loss_backward;                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::softmax;                                                   NO;  NO;  YES; YES;      DF_DT; NO;      YES;  NO;           0;
aten::softplus;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::softplus_backward;                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::softshrink;                                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::softshrink_backward;                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::sort;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::special_airy_ai;                                           YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_bessel_j0;                                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_bessel_j1;                                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_bessel_y0;                                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_bessel_y1;                                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_chebyshev_polynomial_t;                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_chebyshev_polynomial_u;                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_chebyshev_polynomial_v;                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_chebyshev_polynomial_w;                            YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::special_entr;                                              YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::special_erfcx;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
